  1      LUNA (USES LUNA RANGER STATION)
       1       1
   33.49
    1982  29.9  34.8  37.7  42.7  49.7  55.3  64.0  64.4  58.4  43.8  37.1  29.6
    1983  32.5  33.0  38.2  39.1  49.5  55.7  64.1  63.0  60.3  49.8  37.2  35.3
    1984  32.0  32.7  37.4  42.2  54.5  58.7  63.9  63.1  57.8  44.5  36.4  31.5
    1985  29.5  30.8  38.3  45.6  51.1  59.6  65.6  62.3  54.8  48.0  37.5  30.4
    1986  35.5  36.5  40.7  45.8  51.5  61.1  63.6  65.7  55.0  46.3  38.5  31.8
    1987  28.0  31.7  34.9  45.1  49.8  59.3  61.9  62.2  55.0  49.6  36.1  28.0
    1988  27.7  36.3  36.9  44.6  50.9  59.3  64.6  63.5  54.5  51.4  38.0  30.6
    1989  29.4  36.5  40.5  47.6  52.0  58.4  65.3  60.4  55.7  46.4  36.8  29.6
    1990  28.1  30.8  39.7  46.3  51.7  63.2  64.3  60.9  59.7  48.6  38.4  25.9
    1991  30.4  36.0  34.3  41.7  49.0  55.6  63.1  62.8  56.7  47.6  36.3  32.0
    1992  27.4  35.0  38.5  46.3  52.6  57.1  62.0  62.1  57.0  48.5  33.7  29.6
    1993  33.0  33.9  39.2  43.8  51.3  58.9  64.0  64.0  55.2  46.3  35.6  31.6
    1994  31.5  30.2  37.7  42.6  48.9  63.1  65.6  65.1  57.0  45.2  36.1  33.0
    1995  30.0  39.1  40.1  43.1  48.9  57.1  63.7  65.6  58.2  47.6  40.5  32.0
    1996  31.8  40.0  37.0  45.4  55.4  63.0  67.8  63.6  56.4  48.0  39.1  33.5
    1997  29.3  34.2  40.1  45.5  54.6  59.2  64.6  64.6  62.2  47.4  39.3  26.9
    1998  33.4  32.9  38.4  41.3  50.9  59.1  66.9  65.2  59.8  49.4  39.4  33.4
    1999  34.8  36.6  40.9  42.2  52.0  59.3  64.9  63.9  58.3  48.0  40.8  29.3
    2000  34.6  37.6  38.8  46.7  56.5  62.5  65.7  62.8  58.1  46.1  32.1  31.8
    2001  27.2  32.4  35.5  44.6  52.9  61.8  64.9  62.3  58.4  51.2  40.2  27.5
    2002  32.5  34.1  37.8  49.2  51.4  62.7  65.9  63.7  57.6  46.0  37.9  29.4
    2003  37.6  35.0  37.4  43.5  53.7  58.5  69.3  64.9  59.9  52.0  39.7  31.8
    2004  33.7  30.1  42.9  44.3  53.8  59.8  64.6  60.9  56.1  47.0  36.9  31.7
    2005  34.4  35.7  37.7  44.7  53.9  59.4  66.2  62.8  58.7  48.5  37.0  32.2
    2006  34.6  42.2  39.4  44.7  54.9  62.5  68.3  62.2  54.0  47.9  37.4  27.2
    2007  25.1  31.7  36.4  44.8  51.2  59.7  65.4  63.9  58.1  47.7  40.1  28.8
    2008  25.0  31.4  38.4  41.0  50.2  61.0  66.0  65.0  58.0  48.5  41.1  36.4
    2009  36.5  36.5  41.8  44.1  55.0  59.3  67.4  64.3  56.7  47.9  40.1  29.6
    2010  31.9  31.6  38.1  46.5  50.3  61.2  67.1  65.5  61.2  50.5  36.2  37.9
    2011  30.3  32.4  43.0  48.6  50.4  61.0  67.6  67.6  59.1  48.7  38.6  28.9
    2012  35.3  35.2  39.4  47.5  53.8  63.5  67.8  65.9  58.7  49.5  40.8  32.0
    2013  27.2  31.2  41.6  46.8  52.5  63.6  67.4  64.6  59.4  45.5  39.7  33.4
    2014  34.8  39.3  41.0  45.2  50.7  61.5  67.0  62.6  62.1  51.1  39.8  35.2
    2015  35.3  40.5  43.1  44.8  47.7  61.0  62.1  63.5  58.6  49.5  37.5  30.0
    2016  30.8  35.8  41.3  40.8  47.1  60.8  63.5  58.2  53.4  49.8  38.3  34.9
    2017  30.4  38.0  42.3  45.5  49.4  61.8  63.0  60.1  55.3  49.5  44.5  34.6
    2018  33.5  35.1  39.4  46.4  52.0  63.0  64.0  61.5  57.3  45.0  36.5  30.1
    2019  29.4  29.8  36.2  46.7  46.7  57.0  63.2  63.4  56.3  45.6  38.1  32.4
    2020  31.3  34.9  40.0  47.7  57.9  64.8  67.1  66.6  59.6  49.6  39.7  28.1
    2021  29.3  34.5  37.7  48.0  56.6  67.2  65.9  63.8  59.8  46.6  39.3  34.5
    2022  29.9  29.9  38.5  49.0  58.4  65.1  66.7  63.3  59.5  46.7  33.5  31.5
    2023  28.2  29.7  37.7  46.1  53.9  61.0  70.7  66.2  60.3  49.8  38.6  31.0
    2024  31.4  35.8  37.6  44.0  51.6  65.6  67.4  66.5  62.5  53.2  35.7  36.4
    1968       6      10       6      12       8      24       9      17
    1969       5      20       6      28       9      22      10       5
    1970       5       5       6      29       9      15       9      15
    1971       6       9       6      10       9      16       9      20
    1972       6      27       6      28       9      20       9      21
    1973       6      20       6      23       9      12       9      27
    1974       6      10       6      12       8      26       9      17
    1975       6       7       6      27       9      23      10       7
    1976       6      25       6      26       8       6       9      20
    1977       6      17       6      17       9      18       9      25
    1978       6       7       6      18       9      12       9      21
    1979       6      20       6      21       8      22      10       5
    1980       6       8       6      16       9       2       9      21
    1981       6      16       6      18       9      26      10       4
    1982       6      13       7       2       9      15      10       1
    1983       6      14       7       2      10       4      10      12
    1984       5      18       6      21       9       6      10       7
    1985       6      27       6      28       9       5       9       8
    1986       5      31       6      10       9      11       9      17
    1987       7       6       7       7       8      16       9      20
    1988       6      13       6      14       9       4       9      19
    1989       6      10       6      26       8      25       9      11
    1990       6      17       6      22      10       3      10       4
    1991       6      23       6      26       9      14       9      28
    1992       6      17       6      27       9       5       9      30
    1993       6      10       6      19       9       9       9      17
    1994       6       8       6      17       9      15       9      23
    1995       6      23       7       3       9      19       9      30
    1996       6       1       6      23       9      21       9      28
    1997       5      27       7       1      10       6      10       9
    1998       6       9       6      22       9      24      10       2
    1999       6      11       6      12       9      29       9      29
    2000       5      26       6      12       9       1       9       7
    2001       6      15       6      15       9       9       9      28
    2002       5      29       6      20       8      24       9      20
    2003       6      22       6      29       9      12       9      22
    2004       6      12       6      30       9       6       9      21
    2005       6      19       6      19       9      13       9      14
    2006       6       1       6      17       9      16       9      17
    2007       6      12       6      26       9      19       9      25
    2008       6       9       6      16       9      14       9      30
    2009       5      26       6      17       9      22       9      22
    2010       6      13       6      23       9      11      10       9
    2011       6      12       6      21       9      23      10       8
    2012       5      31       6       9       9      15       9      30
    2013       5      28       6      23       9      23       9      28
    2014       6       7       6      16       9      30       9      30
    2015       5      26       6       2      10      23      11       3
    2016       6       1       6      17       9      16       9      22
    2017       6      14       6      15       9      23       9      23
    2018       5      29       5      29      10       5      10       5
    2019       5      29       6      24       9      21       9      21
    2020       5      24       6      15       9      12      10      19
    2021       5      24       6       9      10       3      10      11
    2022       5      25       6       3      10       1      10      14
    2023       6      13       6      24      10      27      10      27
    2024       5      26       5      27      10      13      10      19
 2      APACHE-ARAGON (USES BEAVERHEAD,RESERVE,LUNA RANGER STATION)
       1       1
   33.84
    1968  0.80  0.75  0.75  0.00  0.00  0.00  2.29  1.97  0.00  1.06  0.70  0.92
